PING 192.168.64.243 (192.168.64.243) 4096(4124) bytes of data.
4104 bytes from 192.168.64.243: icmp_seq=1 ttl=61 time=59.6 ms
4104 bytes from 192.168.64.243: icmp_seq=2 ttl=61 time=48.6 ms
4104 bytes from 192.168.64.243: icmp_seq=3 ttl=61 time=47.4 ms
4104 bytes from 192.168.64.243: icmp_seq=4 ttl=61 time=53.0 ms
4104 bytes from 192.168.64.243: icmp_seq=5 ttl=61 time=53.2 ms
4104 bytes from 192.168.64.243: icmp_seq=6 ttl=61 time=53.4 ms
4104 bytes from 192.168.64.243: icmp_seq=7 ttl=61 time=55.6 ms
4104 bytes from 192.168.64.243: icmp_seq=8 ttl=61 time=69.6 ms
4104 bytes from 192.168.64.243: icmp_seq=9 ttl=61 time=47.8 ms
4104 bytes from 192.168.64.243: icmp_seq=10 ttl=61 time=52.2 ms
4104 bytes from 192.168.64.243: icmp_seq=11 ttl=61 time=48.8 ms
4104 bytes from 192.168.64.243: icmp_seq=12 ttl=61 time=52.7 ms
4104 bytes from 192.168.64.243: icmp_seq=13 ttl=61 time=52.5 ms
4104 bytes from 192.168.64.243: icmp_seq=14 ttl=61 time=49.9 ms
4104 bytes from 192.168.64.243: icmp_seq=15 ttl=61 time=60.2 ms
4104 bytes from 192.168.64.243: icmp_seq=16 ttl=61 time=50.4 ms
4104 bytes from 192.168.64.243: icmp_seq=17 ttl=61 time=48.0 ms
4104 bytes from 192.168.64.243: icmp_seq=18 ttl=61 time=65.7 ms
4104 bytes from 192.168.64.243: icmp_seq=19 ttl=61 time=49.7 ms
4104 bytes from 192.168.64.243: icmp_seq=20 ttl=61 time=50.6 ms
4104 bytes from 192.168.64.243: icmp_seq=21 ttl=61 time=46.8 ms
4104 bytes from 192.168.64.243: icmp_seq=22 ttl=61 time=46.1 ms
4104 bytes from 192.168.64.243: icmp_seq=23 ttl=61 time=47.0 ms
4104 bytes from 192.168.64.243: icmp_seq=24 ttl=61 time=51.2 ms
4104 bytes from 192.168.64.243: icmp_seq=25 ttl=61 time=50.4 ms
4104 bytes from 192.168.64.243: icmp_seq=26 ttl=61 time=50.8 ms
4104 bytes from 192.168.64.243: icmp_seq=27 ttl=61 time=47.3 ms
4104 bytes from 192.168.64.243: icmp_seq=28 ttl=61 time=49.7 ms
4104 bytes from 192.168.64.243: icmp_seq=29 ttl=61 time=51.9 ms
4104 bytes from 192.168.64.243: icmp_seq=30 ttl=61 time=47.2 ms
4104 bytes from 192.168.64.243: icmp_seq=31 ttl=61 time=50.7 ms
4104 bytes from 192.168.64.243: icmp_seq=32 ttl=61 time=50.2 ms
4104 bytes from 192.168.64.243: icmp_seq=33 ttl=61 time=48.6 ms
4104 bytes from 192.168.64.243: icmp_seq=34 ttl=61 time=49.1 ms
4104 bytes from 192.168.64.243: icmp_seq=35 ttl=61 time=47.5 ms
4104 bytes from 192.168.64.243: icmp_seq=36 ttl=61 time=47.4 ms
4104 bytes from 192.168.64.243: icmp_seq=37 ttl=61 time=46.9 ms
4104 bytes from 192.168.64.243: icmp_seq=38 ttl=61 time=48.7 ms
4104 bytes from 192.168.64.243: icmp_seq=39 ttl=61 time=52.5 ms
4104 bytes from 192.168.64.243: icmp_seq=40 ttl=61 time=53.5 ms
4104 bytes from 192.168.64.243: icmp_seq=41 ttl=61 time=47.7 ms
4104 bytes from 192.168.64.243: icmp_seq=42 ttl=61 time=48.1 ms
4104 bytes from 192.168.64.243: icmp_seq=43 ttl=61 time=47.9 ms
4104 bytes from 192.168.64.243: icmp_seq=44 ttl=61 time=50.5 ms
4104 bytes from 192.168.64.243: icmp_seq=45 ttl=61 time=53.0 ms
4104 bytes from 192.168.64.243: icmp_seq=46 ttl=61 time=53.1 ms
4104 bytes from 192.168.64.243: icmp_seq=47 ttl=61 time=50.5 ms
4104 bytes from 192.168.64.243: icmp_seq=48 ttl=61 time=50.3 ms
4104 bytes from 192.168.64.243: icmp_seq=49 ttl=61 time=47.6 ms
4104 bytes from 192.168.64.243: icmp_seq=50 ttl=61 time=49.7 ms
4104 bytes from 192.168.64.243: icmp_seq=51 ttl=61 time=48.9 ms
4104 bytes from 192.168.64.243: icmp_seq=52 ttl=61 time=46.5 ms
4104 bytes from 192.168.64.243: icmp_seq=53 ttl=61 time=52.2 ms
4104 bytes from 192.168.64.243: icmp_seq=54 ttl=61 time=49.4 ms
4104 bytes from 192.168.64.243: icmp_seq=55 ttl=61 time=48.2 ms
